gene_id	synonym
LOC110482105	MGAM_1
LOC110482108	LOC110482108
LOC110482579	SLCO1C1_1
LOC110482584	AKR1B1
LOC110482585	AKR1B10_1
LOC110482589	ATP6V1E1
LOC110482590	AKR1B10_2
LOC110482594	LOC110482594
LOC110482595	LOC110482595
LOC110482600	LOC110482600
LOC110482607	RNF113A_1
LOC110482608	LOC110482608
LOC110482611	LOC110482611
LOC110482615	LOC110482615
LOC110482616	LOC110482616
LOC110482617	AKR1B10_3
LOC110482622	LOC110482622
LOC110482628	PSUG
LOC110482631	LOC110482631
LOC110482638	AKR1B10_0
LOC110483492	ARL8B_1
LOC110483500	LOC110483500
LOC110483505	HYAL
LOC110483508	LOC110483508
LOC110483513	SPAM1
LOC110483514	LOC110483514
LOC110483526	LOC110483526
LOC110484510	LOC110484510
LOC110484513	LOC110484513
LOC110484519	LOC110484519
LOC110484520	SFRP2_0
LOC116183154	LOC116183154
LOC116183155	LOC116183155
LOC116183156	LOC116183156
LOC116183157	LOC116183157
LOC116183158	LOC116183158
LOC116183159	LOC116183159
LOC116183160	LOC116183160
LOC116183161	LOC116183161
LOC116183162	LOC116183162
LOC116183163	LOC116183163
LOC116184809	LOC116184809
LOC116184810	LOC116184810
LOC116184812	LOC116184812
LOC116184813	LOC116184813
LOC116184815	LOC116184815
LOC116184817	LOC116184817
LOC116184818	LOC116184818
LOC116184819	LOC116184819
LOC116184820	LOC116184820
LOC116184821	LOC116184821
LOC116184822	LOC116184822
LOC116184823	LOC116184823
LOC116184824	LOC116184824
LOC116184825	LOC116184825
LOC116184826	LOC116184826
LOC116184827	LOC116184827
LOC110470362	FAR1
LOC110470373	LOC110470373
LOC110470374	LOC110470374
LOC110470380	PARP12_2
LOC110470382	LOC110470382
LOC110470383	LOC110470383
LOC110470395	LOC110470395
LOC110470397	LOC110470397
LOC110470398	LOC110470398
LOC110473186	PNPLA2_1
LOC110473193	LOC110473193
LOC110473194	KCNA6
LOC110473195	LOC110473195
LOC110473196	LOC110473196
LOC110473198	LOC110473198
LOC110473818	LOC110473818
LOC110474503	ADCYAP1R1
LOC110474504	VIPR1_1
LOC110474505	LOC110474505
LOC110474508	VIPR1
LOC110474519	CYP8B1
LOC110474880	LOC110474880
LOC110474882	LOC110474882
LOC110474883	CASC1_0
LOC110475093	CDC25A
LOC110475096	LOC110475096
LOC110475199	ENDOU
LOC110475201	LOC110475201
LOC110475204	SULT6B1
LOC110475208	LOC110475208
LOC110475209	LOC110475209
LOC110475212	CYB5R3
LOC110475213	LOC110475213
LOC110475221	LOC110475221
LOC110475224	LOC110475224
LOC110475706	SNAP47
LOC110475713	ANO2
LOC110475714	ELOVL4_0
LOC110475715	LOC110475715
LOC110475717	LOC110475717
LOC110475718	LOC110475718
LOC110475719	KCNA1
LOC110475723	LOC110475723
LOC110476696	CRHR2_0
LOC110476932	LOC110476932
LOC110476937	LOC110476937
LOC110476938	THAP5_1
LOC110476940	LOC110476940
LOC110476941	ZNF777_1
LOC110476942	ZNF316
LOC110476943	LOC110476943
LOC110476951	ZNF783
LOC110479025	CLEC2L
LOC110479029	LOC110479029
LOC110479031	LOC110479031
LOC110479035	LOC110479035
LOC110483807	H5
LOC110483808	FAM20C_1
LOC110483810	ADAP1_0
LOC110483820	LOC110483820
LOC110483826	NOG_1
LOC110483828	LOC110483828
LOC110483833	CAPN2_1
LOC110483838	LOC110483838
LOC110483847	LOC110483847
LOC110483851	LOC110483851
LOC110483878	LOC110483878
LOC110484525	SNAP47_0
LOC116183128	LOC116183128
LOC116183129	LOC116183129
LOC116183130	LOC116183130
LOC116183131	LOC116183131
LOC116183132	LOC116183132
LOC116183133	LOC116183133
LOC116183134	LOC116183134
LOC116183135	LOC116183135
LOC116183136	LOC116183136
LOC116183137	LOC116183137
LOC116183138	LOC116183138
LOC116183140	LOC116183140
LOC116183141	LOC116183141
LOC116183142	LOC116183142
LOC116183143	LOC116183143
LOC116183164	LOC116183164
LOC116183165	LOC116183165
LOC116183166	LOC116183166
LOC116183167	LOC116183167
LOC116183168	LOC116183168
LOC116183169	LOC116183169
LOC116183170	LOC116183170
LOC116183171	LOC116183171
LOC116183175	LOC116183175
LOC116183183	LOC116183183
LOC116183184	LOC116183184
LOC116183185	LOC116183185
LOC116183186	LOC116183186
LOC116183281	LOC116183281
LOC116183282	LOC116183282
LOC116183283	LOC116183283
LOC116184832	LOC116184832
LOC110468538	LOC110468538
LOC110468548	LOC110468548
LOC110470611	BMI1
LOC110471984	PDSS1
LOC110471993	LOC110471993
LOC110474573	LOC110474573
LOC110474586	DNAH11
LOC110474666	LOC110474666
LOC110474678	LOC110474678
LOC110474679	LOC110474679
LOC110474682	LOC110474682
LOC110474684	LOC110474684
LOC110474685	LOC110474685
LOC110474686	LOC110474686
LOC110474692	LOC110474692
LOC110474699	LOC110474699
LOC110474707	LOC110474707
LOC110474722	LOC110474722
LOC110474726	LOC110474726
LOC110474732	PON2
LOC110474736	ACDH-6
LOC110475086	LOC110475086
LOC110475094	LOC110475094
LOC110475106	ABCF2
LOC110475109	LOC110475109
LOC110475116	SSPO
LOC110475118	LOC110475118
LOC110475126	LOC110475126
LOC110476202	LOC110476202
LOC110476204	LOC110476204
LOC110476205	LOC110476205
LOC110476206	LOC110476206
LOC110476208	LOC110476208
LOC110477293	LOC110477293
LOC110477295	LOC110477295
LOC110477298	LOC110477298
LOC110477306	LOC110477306
LOC110477307	PKSN
LOC110477310	LOC110477310
LOC110477314	LOC110477314
LOC110477324	SSNA1_0
LOC110477329	PTCHD3_0
LOC110477335	LOC110477335
LOC110477337	LOC110477337
LOC110477338	LOC110477338
LOC110477797	LOC110477797
LOC110477798	LOC110477798
LOC110482427	LOC110482427
LOC110482429	CYP51A1
LOC110482435	LOC110482435
LOC110482444	GNG11
LOC110482465	LOC110482465
LOC110482470	LOC110482470
LOC110484531	LOC110484531
LOC110484532	LOC110484532
LOC110484537	SLC22A13_1
LOC110484542	MAP3K3_0
LOC110484544	SLC22A13_0
LOC110484556	CRY-DASH
LOC110484557	SCN5A_1
LOC110484561	LOC110484561
LOC110484562	SCN5A_0
LOC116183176	LOC116183176
LOC116183187	LOC116183187
LOC116183188	LOC116183188
LOC116183189	LOC116183189
LOC116183190	LOC116183190
LOC116183191	LOC116183191
LOC116183192	LOC116183192
LOC116183194	LOC116183194
LOC116183195	LOC116183195
LOC116183196	LOC116183196
LOC116183197	LOC116183197
LOC116183198	LOC116183198
LOC116183199	LOC116183199
LOC116183200	LOC116183200
LOC116183202	LOC116183202
LOC116183203	LOC116183203
LOC116183204	LOC116183204
LOC116183205	LOC116183205
LOC116183206	LOC116183206
LOC116183208	LOC116183208
LOC116183209	LOC116183209
LOC116183210	LOC116183210
LOC116183211	LOC116183211
LOC116183284	LOC116183284
LOC116183285	LOC116183285
LOC116183286	LOC116183286
LOC116183287	LOC116183287
LOC116183288	LOC116183288
LOC116183289	LOC116183289
LOC116183290	LOC116183290
LOC116183291	LOC116183291
LOC116183292	LOC116183292
LOC116183293	LOC116183293
LOC116183294	LOC116183294
LOC116183295	LOC116183295
LOC116183296	LOC116183296
LOC116183297	LOC116183297
LOC116183346	LOC116183346
LOC110468224	LOC110468224
LOC110468226	LOC110468226
LOC110470697	MARVELD3_1
LOC110470698	LOC110470698
LOC110470699	LOC110470699
LOC110470706	LOC110470706
LOC110470707	LOC110470707
LOC110470708	LOC110470708
LOC110470709	LOC110470709
LOC110470712	SERPINB1
LOC110470716	LOC110470716
LOC110470717	LOC110470717
LOC110470718	SERPINB14
LOC110470722	LOC110470722
LOC110470723	LOC110470723
LOC110471055	MRPL3_1
LOC110471057	LOC110471057
LOC110471058	LOC110471058
LOC110471062	CCR4_0
LOC110471064	LOC110471064
LOC110471065	LOC110471065
LOC110471066	LOC110471066
LOC110471067	CCR5
LOC110471386	LOC110471386
LOC110471389	LOC110471389
LOC110473730	NGLY1_1
LOC110473736	LOC110473736
LOC110473739	LOC110473739
LOC110474558	LOC110474558
LOC110474568	LOC110474568
LOC110474569	LOC110474569
LOC110474578	LOC110474578
LOC110474592	NGLY1
LOC110474598	UBE2E1
LOC110474601	UBE2E2
LOC110474603	LOC110474603
LOC110474609	LOC110474609
LOC110474619	LOC110474619
LOC110474626	LOC110474626
LOC110474629	LOC110474629
LOC110474641	LOC110474641
LOC110474642	LOC110474642
LOC110474649	CYC
LOC110474663	LOC110474663
LOC110475946	LOC110475946
LOC110477528	LOC110477528
LOC110477532	EAF1
LOC110477533	MRPL3_0
LOC110478235	LOC110478235
LOC110478236	LOC110478236
LOC110478241	LOC110478241
LOC110478242	LOC110478242
LOC110478245	TBB1
LOC110478247	TBB2
LOC110479181	LOC110479181
LOC110479188	FBXL2
LOC110479189	UBP1_1
LOC110479271	CDH6_0
LOC110479352	LOC110479352
LOC110479353	LOC110479353
LOC110479437	MED1_0
LOC110479467	LOC110479467
LOC110479513	LOC110479513
LOC110480674	LOC110480674
LOC110480675	EAF1_1
LOC110482815	LOC110482815
LOC110482816	LOC110482816
LOC110482821	CDH6_1
LOC110483363	LOC110483363
LOC110483364	LOC110483364
LOC110483369	LOC110483369
LOC110483376	LOC110483376
LOC110483379	GPR141_0
